cand,RMSE,MAE,MAPE,R2
Blend(LightGBM+CatBoost+Ridge),629.3118484829977,114.3438404299048,5.131215070767832,0.8261684811045069
LightGBM,629.8897099101674,119.0606790135009,5.36949072182593,0.8258490952583504
CatBoost,630.1229174673765,117.12794563928902,5.312662887474798,0.8257201176780333
Ridge,631.6167841093913,124.49570643460653,5.622850294843074,0.8248927885669484
XGBoost,632.2806280907382,122.536445013179,5.508091863696663,0.8245245116027013
