cand,RMSE,MAE,MAPE,R2
Blend(CatBoost+Ridge+XGBoost),631.6519422417526,123.90167473308341,5.596025699355414,0.8248732937909479
CatBoost,631.948357265859,124.18982322728729,5.665031952340113,0.8247088919635952
Ridge,633.2356813351472,129.68699457824079,5.836082849714816,0.8239940034791198
XGBoost,635.1810420807652,136.40529499561976,6.224133694640127,0.8229109277709351
LightGBM,635.4082043922298,138.36726273459828,6.234966348279098,0.8227842389884937
