model,RMSE,MAE,MAPE,R2,secs
Ridge,633.9172447162018,148.70959903465777,8.376731673024029,0.8234820160995585,0.2
MLP,636.3217566314037,165.36369971528714,9.967718734893097,0.8221683874396423,11.0
CatBoost,660.0495201101497,163.96951038775865,7.778999771457837,0.8086859665684193,5.9
LightGBM,664.2227144806715,211.17497625457523,9.726992828866189,0.8056803216102318,13.6
RandomForest,720.6692032094617,231.52002974462695,10.036333388406783,0.769997328401892,33.7
XGBoost,732.7590244574609,273.2903812650333,13.327748990884283,0.7621130268624693,3.9
